ÇàÁ¤±¸¿ªÄÚµå,state(han),city(han),city2(han),À§µµ,°æµµ,¹ßÇ¥½Ã°£,Ç³Çâ,Ç³¼Ó,±â¿Â,½Àµµ,°­¼ö·®
2723061000,´ë±¸±¤¿ª½Ã,ºÏ±¸,»ê°Ý1µ¿,35.889653,128.596911,2022-05-02 13:00:00,¼­,1.8,18.7,24,0
2723061000,´ë±¸±¤¿ª½Ã,ºÏ±¸,»ê°Ý1µ¿,35.889653,128.596911,2022-05-02 14:00:00,ºÏ¼­,2.8,19.8,21,0
2723061000,´ë±¸±¤¿ª½Ã,ºÏ±¸,»ê°Ý1µ¿,35.889653,128.596911,2022-05-02 15:00:00,ºÏ¼­,1.5,19.7,21,0
2723061000,´ë±¸±¤¿ª½Ã,ºÏ±¸,»ê°Ý1µ¿,35.889653,128.596911,2022-05-02 16:00:00,ºÏ¼­,1.8,19.4,22,0
2723061000,´ë±¸±¤¿ª½Ã,ºÏ±¸,»ê°Ý1µ¿,35.889653,128.596911,2022-05-02 17:00:00,ºÏµ¿,1.4,19.5,23,0
2723061000,´ë±¸±¤¿ª½Ã,ºÏ±¸,»ê°Ý1µ¿,35.889653,128.596911,2022-05-02 18:00:00,µ¿,3,16.4,38,0
2723061000,´ë±¸±¤¿ª½Ã,ºÏ±¸,»ê°Ý1µ¿,35.889653,128.596911,2022-05-02 19:00:00,µ¿,3.3,13.5,55,0
2723061000,´ë±¸±¤¿ª½Ã,ºÏ±¸,»ê°Ý1µ¿,35.889653,128.596911,2022-05-02 20:00:00,ºÏµ¿,1.6,10.8,80,1
2723061000,´ë±¸±¤¿ª½Ã,ºÏ±¸,»ê°Ý1µ¿,35.889653,128.596911,2022-05-02 21:00:00,µ¿,2.2,10.6,81,0.5
2723061000,´ë±¸±¤¿ª½Ã,ºÏ±¸,»ê°Ý1µ¿,35.889653,128.596911,2022-05-02 22:00:00,³²µ¿,2,10.2,83,0
2723061000,´ë±¸±¤¿ª½Ã,ºÏ±¸,»ê°Ý1µ¿,35.889653,128.596911,2022-05-02 23:00:00,³²µ¿,1,10.1,81,0
2723061000,´ë±¸±¤¿ª½Ã,ºÏ±¸,»ê°Ý1µ¿,35.889653,128.596911,2022-05-03 00:00:00,ºÏµ¿,0.9,9.2,89,0
2723061000,´ë±¸±¤¿ª½Ã,ºÏ±¸,»ê°Ý1µ¿,35.889653,128.596911,2022-05-03 01:00:00,ºÏ¼­,0.8,9,88,0
2723061000,´ë±¸±¤¿ª½Ã,ºÏ±¸,»ê°Ý1µ¿,35.889653,128.596911,2022-05-03 02:00:00,ºÏµ¿,1.2,8.4,90,0
2723061000,´ë±¸±¤¿ª½Ã,ºÏ±¸,»ê°Ý1µ¿,35.889653,128.596911,2022-05-03 03:00:00,ºÏ,0.5,7.8,92,0
2723061000,´ë±¸±¤¿ª½Ã,ºÏ±¸,»ê°Ý1µ¿,35.889653,128.596911,2022-05-03 04:00:00,ºÏµ¿,1.3,7.5,92,0
2723061000,´ë±¸±¤¿ª½Ã,ºÏ±¸,»ê°Ý1µ¿,35.889653,128.596911,2022-05-03 05:00:00,ºÏ,0.4,7.6,92,0
2723061000,´ë±¸±¤¿ª½Ã,ºÏ±¸,»ê°Ý1µ¿,35.889653,128.596911,2022-05-03 06:00:00,ºÏµ¿,0.5,7,92,0
2723061000,´ë±¸±¤¿ª½Ã,ºÏ±¸,»ê°Ý1µ¿,35.889653,128.596911,2022-05-03 07:00:00,ºÏ,1.1,8,90,0
2723061000,´ë±¸±¤¿ª½Ã,ºÏ±¸,»ê°Ý1µ¿,35.889653,128.596911,2022-05-03 08:00:00,ºÏµ¿,0.8,9.7,83,0
2723061000,´ë±¸±¤¿ª½Ã,ºÏ±¸,»ê°Ý1µ¿,35.889653,128.596911,2022-05-03 09:00:00,ºÏ¼­,1.1,10.9,77,0
2723061000,´ë±¸±¤¿ª½Ã,ºÏ±¸,»ê°Ý1µ¿,35.889653,128.596911,2022-05-03 10:00:00,ºÏµ¿,1.1,14.3,61,0
2723061000,´ë±¸±¤¿ª½Ã,ºÏ±¸,»ê°Ý1µ¿,35.889653,128.596911,2022-05-03 11:00:00,µ¿,1.7,16.4,44,0
2723061000,´ë±¸±¤¿ª½Ã,ºÏ±¸,»ê°Ý1µ¿,35.889653,128.596911,2022-05-03 12:00:00,¼­,1.7,18.9,28,0
2723061000,´ë±¸±¤¿ª½Ã,ºÏ±¸,»ê°Ý1µ¿,35.889653,128.596911,2022-05-03 13:00:00,ºÏ¼­,1.7,20,30,0
2723061000,´ë±¸±¤¿ª½Ã,ºÏ±¸,»ê°Ý1µ¿,35.889653,128.596911,2022-05-03 14:00:00,µ¿,1.4,21.7,26,0
2723061000,´ë±¸±¤¿ª½Ã,ºÏ±¸,»ê°Ý1µ¿,35.889653,128.596911,2022-05-03 15:00:00,ºÏ¼­,1.8,22.3,25,0
2723061000,´ë±¸±¤¿ª½Ã,ºÏ±¸,»ê°Ý1µ¿,35.889653,128.596911,2022-05-03 16:00:00,³²,1.9,22,26,0
2723061000,´ë±¸±¤¿ª½Ã,ºÏ±¸,»ê°Ý1µ¿,35.889653,128.596911,2022-05-03 17:00:00,³²µ¿,2,22.1,24,0
2723061000,´ë±¸±¤¿ª½Ã,ºÏ±¸,»ê°Ý1µ¿,35.889653,128.596911,2022-05-03 18:00:00,³²µ¿,1.2,22,25,0
2723061000,´ë±¸±¤¿ª½Ã,ºÏ±¸,»ê°Ý1µ¿,35.889653,128.596911,2022-05-03 19:00:00,³²µ¿,1.5,20.9,29,0
2723061000,´ë±¸±¤¿ª½Ã,ºÏ±¸,»ê°Ý1µ¿,35.889653,128.596911,2022-05-03 20:00:00,ºÏµ¿,1.3,19.8,32,0
2723061000,´ë±¸±¤¿ª½Ã,ºÏ±¸,»ê°Ý1µ¿,35.889653,128.596911,2022-05-03 21:00:00,ºÏ,0.7,18.4,37,0
2723061000,´ë±¸±¤¿ª½Ã,ºÏ±¸,»ê°Ý1µ¿,35.889653,128.596911,2022-05-03 22:00:00,ºÏ¼­,0.8,17.3,42,0
2723061000,´ë±¸±¤¿ª½Ã,ºÏ±¸,»ê°Ý1µ¿,35.889653,128.596911,2022-05-03 23:00:00,ºÏ,0.6,16.1,47,0
2723061000,´ë±¸±¤¿ª½Ã,ºÏ±¸,»ê°Ý1µ¿,35.889653,128.596911,2022-05-04 00:00:00,ºÏ¼­,0.7,15.2,51,0
2723061000,´ë±¸±¤¿ª½Ã,ºÏ±¸,»ê°Ý1µ¿,35.889653,128.596911,2022-05-04 01:00:00,ºÏ¼­,1,14.4,55,0
2723061000,´ë±¸±¤¿ª½Ã,ºÏ±¸,»ê°Ý1µ¿,35.889653,128.596911,2022-05-04 02:00:00,ºÏ¼­,0.9,13.9,59,0
2723061000,´ë±¸±¤¿ª½Ã,ºÏ±¸,»ê°Ý1µ¿,35.889653,128.596911,2022-05-04 03:00:00,ºÏ¼­,1.1,13.2,60,0
2723061000,´ë±¸±¤¿ª½Ã,ºÏ±¸,»ê°Ý1µ¿,35.889653,128.596911,2022-05-04 04:00:00,ºÏ,0.8,12.1,65,0
2723061000,´ë±¸±¤¿ª½Ã,ºÏ±¸,»ê°Ý1µ¿,35.889653,128.596911,2022-05-04 05:00:00,ºÏ¼­,0.8,11.6,67,0
2723061000,´ë±¸±¤¿ª½Ã,ºÏ±¸,»ê°Ý1µ¿,35.889653,128.596911,2022-05-04 06:00:00,ºÏ¼­,0.9,11.3,69,0
2723061000,´ë±¸±¤¿ª½Ã,ºÏ±¸,»ê°Ý1µ¿,35.889653,128.596911,2022-05-04 07:00:00,ºÏ¼­,1.2,12.4,67,0
2723061000,´ë±¸±¤¿ª½Ã,ºÏ±¸,»ê°Ý1µ¿,35.889653,128.596911,2022-05-04 08:00:00,ºÏ¼­,0.9,14,57,0
2723061000,´ë±¸±¤¿ª½Ã,ºÏ±¸,»ê°Ý1µ¿,35.889653,128.596911,2022-05-04 09:00:00,³²,0.9,16.8,50,0
2723061000,´ë±¸±¤¿ª½Ã,ºÏ±¸,»ê°Ý1µ¿,35.889653,128.596911,2022-05-04 10:00:00,³²µ¿,1.1,19.1,42,0
2723061000,´ë±¸±¤¿ª½Ã,ºÏ±¸,»ê°Ý1µ¿,35.889653,128.596911,2022-05-04 11:00:00,ºÏ¼­,0.6,21.2,35,0
2723061000,´ë±¸±¤¿ª½Ã,ºÏ±¸,»ê°Ý1µ¿,35.889653,128.596911,2022-05-04 12:00:00,³²,1.6,23,27,0
2723061000,´ë±¸±¤¿ª½Ã,ºÏ±¸,»ê°Ý1µ¿,35.889653,128.596911,2022-05-04 13:00:00,ºÏ,1.5,24.8,26,0
2723061000,´ë±¸±¤¿ª½Ã,ºÏ±¸,»ê°Ý1µ¿,35.889653,128.596911,2022-05-04 14:00:00,³²,1.2,26.2,23,0
2723061000,´ë±¸±¤¿ª½Ã,ºÏ±¸,»ê°Ý1µ¿,35.889653,128.596911,2022-05-04 15:00:00,ºÏ,1.5,27.2,24,0
2723061000,´ë±¸±¤¿ª½Ã,ºÏ±¸,»ê°Ý1µ¿,35.889653,128.596911,2022-05-04 16:00:00,³²,1.7,27.4,23,0
2723061000,´ë±¸±¤¿ª½Ã,ºÏ±¸,»ê°Ý1µ¿,35.889653,128.596911,2022-05-04 17:00:00,³²µ¿,1.2,26.8,25,0
2723061000,´ë±¸±¤¿ª½Ã,ºÏ±¸,»ê°Ý1µ¿,35.889653,128.596911,2022-05-04 18:00:00,³²µ¿,1.3,26,24,0
2723061000,´ë±¸±¤¿ª½Ã,ºÏ±¸,»ê°Ý1µ¿,35.889653,128.596911,2022-05-04 19:00:00,³²¼­,1.5,23.8,29,0
2723061000,´ë±¸±¤¿ª½Ã,ºÏ±¸,»ê°Ý1µ¿,35.889653,128.596911,2022-05-04 20:00:00,ºÏµ¿,1.1,22.3,31,0
2723061000,´ë±¸±¤¿ª½Ã,ºÏ±¸,»ê°Ý1µ¿,35.889653,128.596911,2022-05-04 21:00:00,ºÏµ¿,0.8,20.8,37,0
2723061000,´ë±¸±¤¿ª½Ã,ºÏ±¸,»ê°Ý1µ¿,35.889653,128.596911,2022-05-04 22:00:00,ºÏ¼­,0.6,19.4,42,0
2723061000,´ë±¸±¤¿ª½Ã,ºÏ±¸,»ê°Ý1µ¿,35.889653,128.596911,2022-05-04 23:00:00,ºÏ¼­,0.6,18.3,46,0
2723061000,´ë±¸±¤¿ª½Ã,ºÏ±¸,»ê°Ý1µ¿,35.889653,128.596911,2022-05-05 00:00:00,ºÏ¼­,1.2,17.4,48,0
2723061000,´ë±¸±¤¿ª½Ã,ºÏ±¸,»ê°Ý1µ¿,35.889653,128.596911,2022-05-05 01:00:00,ºÏ¼­,0.6,16.4,52,0
2723061000,´ë±¸±¤¿ª½Ã,ºÏ±¸,»ê°Ý1µ¿,35.889653,128.596911,2022-05-05 02:00:00,ºÏ¼­,1.1,15.7,55,0
2723061000,´ë±¸±¤¿ª½Ã,ºÏ±¸,»ê°Ý1µ¿,35.889653,128.596911,2022-05-05 03:00:00,ºÏ¼­,0.4,15.1,59,0
2723061000,´ë±¸±¤¿ª½Ã,ºÏ±¸,»ê°Ý1µ¿,35.889653,128.596911,2022-05-05 04:00:00,ºÏ¼­,1.1,14.5,63,0
2723061000,´ë±¸±¤¿ª½Ã,ºÏ±¸,»ê°Ý1µ¿,35.889653,128.596911,2022-05-05 05:00:00,ºÏ¼­,0.9,14,66,0
2723061000,´ë±¸±¤¿ª½Ã,ºÏ±¸,»ê°Ý1µ¿,35.889653,128.596911,2022-05-05 06:00:00,ºÏ¼­,1.3,13.8,68,0
2723061000,´ë±¸±¤¿ª½Ã,ºÏ±¸,»ê°Ý1µ¿,35.889653,128.596911,2022-05-05 07:00:00,ºÏ¼­,1.8,14.3,68,0
2723061000,´ë±¸±¤¿ª½Ã,ºÏ±¸,»ê°Ý1µ¿,35.889653,128.596911,2022-05-05 08:00:00,ºÏµ¿,1.3,16.6,62,0
2723061000,´ë±¸±¤¿ª½Ã,ºÏ±¸,»ê°Ý1µ¿,35.889653,128.596911,2022-05-05 09:00:00,ºÏ,1.6,17.8,56,0
2723061000,´ë±¸±¤¿ª½Ã,ºÏ±¸,»ê°Ý1µ¿,35.889653,128.596911,2022-05-05 10:00:00,³²¼­,1.2,20.6,48,0
2723061000,´ë±¸±¤¿ª½Ã,ºÏ±¸,»ê°Ý1µ¿,35.889653,128.596911,2022-05-05 11:00:00,¼­,1.3,22.3,43,0
2723061000,´ë±¸±¤¿ª½Ã,ºÏ±¸,»ê°Ý1µ¿,35.889653,128.596911,2022-05-05 12:00:00,ºÏµ¿,1.4,24.4,34,0
2723061000,´ë±¸±¤¿ª½Ã,ºÏ±¸,»ê°Ý1µ¿,35.889653,128.596911,2022-05-05 13:00:00,ºÏ¼­,1.8,26.1,21,0
2723061000,´ë±¸±¤¿ª½Ã,ºÏ±¸,»ê°Ý1µ¿,35.889653,128.596911,2022-05-05 14:00:00,³²µ¿,1.7,27.4,19,0
2723061000,´ë±¸±¤¿ª½Ã,ºÏ±¸,»ê°Ý1µ¿,35.889653,128.596911,2022-05-05 15:00:00,¼­,1.4,27.6,20,0
2723061000,´ë±¸±¤¿ª½Ã,ºÏ±¸,»ê°Ý1µ¿,35.889653,128.596911,2022-05-05 16:00:00,³²¼­,1.4,28.3,17,0
2723061000,´ë±¸±¤¿ª½Ã,ºÏ±¸,»ê°Ý1µ¿,35.889653,128.596911,2022-05-05 17:00:00,µ¿,0.7,27.5,16,0
2723061000,´ë±¸±¤¿ª½Ã,ºÏ±¸,»ê°Ý1µ¿,35.889653,128.596911,2022-05-05 18:00:00,³²,2.4,26.6,15,0
2723061000,´ë±¸±¤¿ª½Ã,ºÏ±¸,»ê°Ý1µ¿,35.889653,128.596911,2022-05-05 19:00:00,³²,2.3,25.1,24,0
2723061000,´ë±¸±¤¿ª½Ã,ºÏ±¸,»ê°Ý1µ¿,35.889653,128.596911,2022-05-05 20:00:00,³²µ¿,2.9,22.8,36,0
2723061000,´ë±¸±¤¿ª½Ã,ºÏ±¸,»ê°Ý1µ¿,35.889653,128.596911,2022-05-05 21:00:00,³²µ¿,0.3,21.2,40,0
2723061000,´ë±¸±¤¿ª½Ã,ºÏ±¸,»ê°Ý1µ¿,35.889653,128.596911,2022-05-05 22:00:00,µ¿,1.3,20.3,44,0
2723061000,´ë±¸±¤¿ª½Ã,ºÏ±¸,»ê°Ý1µ¿,35.889653,128.596911,2022-05-05 23:00:00,ºÏ,1.2,18.6,50,0
2723061000,´ë±¸±¤¿ª½Ã,ºÏ±¸,»ê°Ý1µ¿,35.889653,128.596911,2022-05-06 00:00:00,ºÏ¼­,1.7,18.2,55,0
2723061000,´ë±¸±¤¿ª½Ã,ºÏ±¸,»ê°Ý1µ¿,35.889653,128.596911,2022-05-06 01:00:00,ºÏ,0.3,17.5,58,0
2723061000,´ë±¸±¤¿ª½Ã,ºÏ±¸,»ê°Ý1µ¿,35.889653,128.596911,2022-05-06 02:00:00,ºÏ¼­,0.6,17.2,59,0
2723061000,´ë±¸±¤¿ª½Ã,ºÏ±¸,»ê°Ý1µ¿,35.889653,128.596911,2022-05-06 03:00:00,ºÏ,0.8,16,65,0
2723061000,´ë±¸±¤¿ª½Ã,ºÏ±¸,»ê°Ý1µ¿,35.889653,128.596911,2022-05-06 04:00:00,³²,0.6,15.6,63,0
2723061000,´ë±¸±¤¿ª½Ã,ºÏ±¸,»ê°Ý1µ¿,35.889653,128.596911,2022-05-06 05:00:00,ºÏ,0.6,14.4,72,0
2723061000,´ë±¸±¤¿ª½Ã,ºÏ±¸,»ê°Ý1µ¿,35.889653,128.596911,2022-05-06 06:00:00,ºÏµ¿,0.4,14.2,73,0
2723061000,´ë±¸±¤¿ª½Ã,ºÏ±¸,»ê°Ý1µ¿,35.889653,128.596911,2022-05-06 07:00:00,ºÏ¼­,1.3,15.4,72,0
2723061000,´ë±¸±¤¿ª½Ã,ºÏ±¸,»ê°Ý1µ¿,35.889653,128.596911,2022-05-06 08:00:00,¼­,1,17.9,63,0
2723061000,´ë±¸±¤¿ª½Ã,ºÏ±¸,»ê°Ý1µ¿,35.889653,128.596911,2022-05-06 09:00:00,³²µ¿,1.3,19.7,54,0
2723061000,´ë±¸±¤¿ª½Ã,ºÏ±¸,»ê°Ý1µ¿,35.889653,128.596911,2022-05-06 10:00:00,ºÏ¼­,1.1,22.1,48,0
2723061000,´ë±¸±¤¿ª½Ã,ºÏ±¸,»ê°Ý1µ¿,35.889653,128.596911,2022-05-06 11:00:00,ºÏ¼­,1.6,23.7,41,0
2723061000,´ë±¸±¤¿ª½Ã,ºÏ±¸,»ê°Ý1µ¿,35.889653,128.596911,2022-05-06 12:00:00,¼­,2.1,25,33,0
2723061000,´ë±¸±¤¿ª½Ã,ºÏ±¸,»ê°Ý1µ¿,35.889653,128.596911,2022-05-06 13:00:00,¼­,1.5,26,31,0
2723061000,´ë±¸±¤¿ª½Ã,ºÏ±¸,»ê°Ý1µ¿,35.889653,128.596911,2022-05-06 14:00:00,³²,1.8,27,29,0
2723061000,´ë±¸±¤¿ª½Ã,ºÏ±¸,»ê°Ý1µ¿,35.889653,128.596911,2022-05-06 15:00:00,³²µ¿,1.6,28,28,0
2723061000,´ë±¸±¤¿ª½Ã,ºÏ±¸,»ê°Ý1µ¿,35.889653,128.596911,2022-05-06 16:00:00,ºÏ,1.9,27.8,33,0
2723061000,´ë±¸±¤¿ª½Ã,ºÏ±¸,»ê°Ý1µ¿,35.889653,128.596911,2022-05-06 17:00:00,³²µ¿,0.8,27.4,34,0
2723061000,´ë±¸±¤¿ª½Ã,ºÏ±¸,»ê°Ý1µ¿,35.889653,128.596911,2022-05-06 18:00:00,³²µ¿,1.5,27.2,35,0
2723061000,´ë±¸±¤¿ª½Ã,ºÏ±¸,»ê°Ý1µ¿,35.889653,128.596911,2022-05-06 19:00:00,µ¿,0.7,26.5,37,0
2723061000,´ë±¸±¤¿ª½Ã,ºÏ±¸,»ê°Ý1µ¿,35.889653,128.596911,2022-05-06 20:00:00,³²µ¿,0.9,24.6,47,0
2723061000,´ë±¸±¤¿ª½Ã,ºÏ±¸,»ê°Ý1µ¿,35.889653,128.596911,2022-05-06 21:00:00,³²,1.3,24,49,0
2723061000,´ë±¸±¤¿ª½Ã,ºÏ±¸,»ê°Ý1µ¿,35.889653,128.596911,2022-05-06 22:00:00,³²,1.3,23.2,52,0
2723061000,´ë±¸±¤¿ª½Ã,ºÏ±¸,»ê°Ý1µ¿,35.889653,128.596911,2022-05-06 23:00:00,ºÏµ¿,0.2,22,55,0
2723061000,´ë±¸±¤¿ª½Ã,ºÏ±¸,»ê°Ý1µ¿,35.889653,128.596911,2022-05-07 00:00:00,ºÏ¼­,1.2,21.2,57,0
2723061000,´ë±¸±¤¿ª½Ã,ºÏ±¸,»ê°Ý1µ¿,35.889653,128.596911,2022-05-07 01:00:00,¼­,0.7,20.3,61,0
2723061000,´ë±¸±¤¿ª½Ã,ºÏ±¸,»ê°Ý1µ¿,35.889653,128.596911,2022-05-07 02:00:00,ºÏ¼­,0.8,19.4,64,0
2723061000,´ë±¸±¤¿ª½Ã,ºÏ±¸,»ê°Ý1µ¿,35.889653,128.596911,2022-05-07 03:00:00,ºÏ¼­,1.4,19.1,65,0
2723061000,´ë±¸±¤¿ª½Ã,ºÏ±¸,»ê°Ý1µ¿,35.889653,128.596911,2022-05-07 04:00:00,ºÏ¼­,0.7,18.4,69,0
2723061000,´ë±¸±¤¿ª½Ã,ºÏ±¸,»ê°Ý1µ¿,35.889653,128.596911,2022-05-07 05:00:00,³²µ¿,0.4,18.3,69,0
2723061000,´ë±¸±¤¿ª½Ã,ºÏ±¸,»ê°Ý1µ¿,35.889653,128.596911,2022-05-07 06:00:00,ºÏ¼­,0.7,18,70,0
2723061000,´ë±¸±¤¿ª½Ã,ºÏ±¸,»ê°Ý1µ¿,35.889653,128.596911,2022-05-07 07:00:00,³²µ¿,0.6,19.3,64,0
2723061000,´ë±¸±¤¿ª½Ã,ºÏ±¸,»ê°Ý1µ¿,35.889653,128.596911,2022-05-07 08:00:00,ºÏ¼­,2.2,20,60,0
2723061000,´ë±¸±¤¿ª½Ã,ºÏ±¸,»ê°Ý1µ¿,35.889653,128.596911,2022-05-07 09:00:00,³²¼­,1.7,21.4,53,0
2723061000,´ë±¸±¤¿ª½Ã,ºÏ±¸,»ê°Ý1µ¿,35.889653,128.596911,2022-05-07 10:00:00,¼­,2.7,22.3,50,0
2723061000,´ë±¸±¤¿ª½Ã,ºÏ±¸,»ê°Ý1µ¿,35.889653,128.596911,2022-05-07 11:00:00,¼­,2.2,23.1,46,0
2723061000,´ë±¸±¤¿ª½Ã,ºÏ±¸,»ê°Ý1µ¿,35.889653,128.596911,2022-05-07 12:00:00,³²µ¿,2,24.8,42,0
2723061000,´ë±¸±¤¿ª½Ã,ºÏ±¸,»ê°Ý1µ¿,35.889653,128.596911,2022-05-07 13:00:00,ºÏ¼­,2.6,24.2,41,0
2723061000,´ë±¸±¤¿ª½Ã,ºÏ±¸,»ê°Ý1µ¿,35.889653,128.596911,2022-05-07 14:00:00,ºÏ¼­,2.2,25.7,39,0
